Source,Target,Type,Id,Label,timeset,Weight
1,27,Directed,0,,,2
3,11,Directed,1,,,1
3,6,Directed,2,,,1
4,3,Directed,3,,,1
5,47,Directed,4,,,1
6,21,Directed,5,,,1
6,47,Directed,7,,,1
7,15,Directed,8,,,1
7,29,Directed,9,,,3
7,53,Directed,10,,,1
7,55,Directed,11,,,1
7,56,Directed,12,,,1
8,3,Directed,13,,,1
8,47,Directed,14,,,1
8,48,Directed,15,,,1
8,50,Directed,16,,,1
9,12,Directed,17,,,1
9,67,Directed,18,,,6
9,13,Directed,19,,,2
9,14,Directed,20,,,1
9,16,Directed,21,,,1
9,17,Directed,22,,,2
9,2,Directed,23,,,1
9,20,Directed,24,,,2
9,21,Directed,25,,,8
9,22,Directed,26,,,3
9,23,Directed,27,,,2
9,24,Directed,28,,,1
9,26,Directed,29,,,1
9,28,Directed,30,,,1
9,11,Directed,31,,,2
9,84,Directed,32,,,1
9,3,Directed,33,,,2
9,31,Directed,34,,,1
9,32,Directed,35,,,1
9,33,Directed,36,,,1
9,6,Directed,37,,,2
9,40,Directed,38,,,2
9,41,Directed,39,,,1
9,8,Directed,40,,,1
9,43,Directed,41,,,3
9,44,Directed,42,,,2
9,52,Directed,44,,,1
9,54,Directed,45,,,1
9,56,Directed,46,,,7
10,9,Directed,47,,,1
11,18,Directed,48,,,1
11,19,Directed,49,,,5
11,25,Directed,50,,,1
11,27,Directed,51,,,1
11,30,Directed,52,,,2
11,3,Directed,53,,,1
11,34,Directed,54,,,1
11,35,Directed,55,,,1
11,36,Directed,56,,,2
11,37,Directed,57,,,1
11,38,Directed,58,,,1
11,39,Directed,59,,,1
11,42,Directed,60,,,2
11,46,Directed,62,,,1
11,47,Directed,63,,,1
11,49,Directed,64,,,1
11,51,Directed,65,,,1
11,56,Directed,66,,,1
57,91,Directed,67,,,4
57,9,Directed,68,,,1
57,103,Directed,69,,,4
58,65,Directed,70,,,2
58,89,Directed,71,,,1
58,91,Directed,72,,,1
58,94,Directed,73,,,1
58,103,Directed,74,,,9
60,65,Directed,85,,,1
60,68,Directed,86,,,2
60,71,Directed,87,,,1
60,74,Directed,88,,,1
60,75,Directed,89,,,2
60,81,Directed,90,,,1
60,83,Directed,91,,,4
60,84,Directed,92,,,2
60,86,Directed,93,,,1
60,87,Directed,94,,,1
60,90,Directed,95,,,2
60,92,Directed,96,,,8
60,95,Directed,97,,,1
60,40,Directed,98,,,1
60,9,Directed,99,,,1
60,99,Directed,100,,,1
60,100,Directed,101,,,3
60,102,Directed,102,,,1
60,103,Directed,103,,,3
62,77,Directed,124,,,1
62,27,Directed,125,,,1
62,47,Directed,127,,,1
62,53,Directed,128,,,1
62,56,Directed,129,,,1
63,67,Directed,130,,,1
63,62,Directed,132,,,1
63,93,Directed,133,,,2
64,43,Directed,134,,,1
6,104,Directed,135,,,9
9,104,Directed,136,,,3
11,104,Directed,137,,,1
62,104,Directed,138,,,1
84,3,Directed,139,,,3
63,105,Directed,140,,,1
